Date,Close/Last,Volume,Open,High,Low
04/12/2019,71.55,29483,70.92,71.86,70.9
04/11/2019,70.83,38046,71.66,71.68,70.58
04/10/2019,71.73,42970,70.83,71.79,70.58
04/09/2019,70.61,35933,71.08,71.34,70.3
04/08/2019,71.1,38349,70.5,71.19,70.44
04/05/2019,70.34,34793,69.26,70.47,68.93
04/04/2019,69.4,36605,69.49,70.01,68.88
04/03/2019,69.31,44784,69.79,69.96,68.8
04/02/2019,69.37,43771,69.21,69.52,68.69
04/01/2019,69.01,41006,67.54,69.19,67.54
03/29/2019,67.58,1132,68,68.88,67.82
03/28/2019,67.82,7537,67.87,68,66.55
03/27/2019,67.83,25680,67.87,68.35,67.2
03/26/2019,67.97,32787,67.25,68.22,67.25
03/25/2019,67.21,34630,66.93,67.64,66.37
03/22/2019,67.03,43653,67.71,67.97,66.21
03/21/2019,67.86,32863,68.32,68.7,67.61
03/20/2019,68.5,34393,67.52,68.57,67.19
03/19/2019,67.61,28535,67.45,68.22,67.14
03/18/2019,67.54,30260,67.05,67.69,66.7
03/15/2019,67.16,33644,67.13,67.71,66.14
03/14/2019,67.23,32204,67.59,68.13,67.03
03/13/2019,67.55,36095,66.88,67.75,66.71
03/12/2019,66.67,36752,66.68,67.39,66.35
03/11/2019,66.58,36531,65.73,66.78,65.65
03/08/2019,65.74,46179,66.07,66.08,64.01
03/07/2019,66.3,35143,65.93,66.99,65.76
03/06/2019,65.99,39794,65.63,66.17,65.23
03/05/2019,65.86,26780,65.72,66.22,65.04
03/04/2019,65.67,28309,65.01,66.34,65.01
03/01/2019,65.07,36193,66.41,67.14,64.59
02/28/2019,66.03,1028,66.32,66.36,65.75
02/27/2019,66.39,9317,65.54,66.7,65.3
02/26/2019,65.21,18151,64.72,65.72,64.34
02/25/2019,64.76,30588,66.8,67.47,64.56
02/22/2019,67.12,22271,66.89,67.73,66.83
02/21/2019,67.07,25669,67.15,67.32,66.7
02/20/2019,67.08,26074,66.36,67.37,65.63
02/19/2019,66.45,43338,66.31,66.83,65.58
02/15/2019,66.25,16639,66.31,66.83,65.9
02/14/2019,64.57,37682,63.63,64.81,63.28
02/13/2019,63.61,33178,62.65,63.96,62.65
02/12/2019,62.42,34125,61.6,63.32,61.54
02/11/2019,61.51,33796,62,62.34,60.9
02/08/2019,62.1,33102,61.6,62.35,61.05
02/07/2019,61.63,32870,62.66,62.9,60.61
02/06/2019,62.69,26011,62.04,62.8,61.05
02/05/2019,61.98,26412,62.78,63.02,61.72
02/04/2019,62.51,33369,62.7,63.63,61.28
02/01/2019,62.75,29137,61.29,62.99,60.46
01/31/2019,61.89,995,61.69,62.32,61.64
01/30/2019,61.65,9559,61.25,62.64,61.07
01/29/2019,61.32,17205,59.98,61.79,59.76
