State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Number speaking second language (Persons),Number speaking second language (Males),Number speaking second language (Females),Number speaking third language (Persons) ,Number speaking third language (Males) ,Number speaking third language (Females)
07,00,NCT OF DELHI,Urban,25-29,835449,445657,389792,155754,80099,75655
07,00,NCT OF DELHI,Urban,30-49,2234914,1260437,974477,467648,253115,214533
07,00,NCT OF DELHI,Urban,50-69,948248,557885,390363,258950,148910,110040
07,00,NCT OF DELHI,Urban,70+,195701,115678,80023,60272,40417,19855
07,00,NCT OF DELHI,Urban,Age not stated,5636,3141,2495,921,497,424
08,00,RAJASTHAN,Total,Total,7473186,4389920,3083266,1006751,642842,363909
08,00,RAJASTHAN,Total,5-9,479152,255935,223217,15735,8683,7052
08,00,RAJASTHAN,Total,10-14,990049,538578,451471,103809,58369,45440
08,00,RAJASTHAN,Total,15-19,1152513,649652,502861,210941,123366,87575
08,00,RAJASTHAN,Total,20-24,1019958,595941,424017,176163,108655,67508
08,00,RAJASTHAN,Total,25-29,797895,475412,322483,121262,78232,43030
08,00,RAJASTHAN,Total,30-49,2056211,1263798,792413,270694,186443,84251
08,00,RAJASTHAN,Total,50-69,775108,489902,285206,87696,64186,23510
08,00,RAJASTHAN,Total,70+,164615,98868,65747,15322,11678,3644
08,00,RAJASTHAN,Total,Age not stated,37685,21834,15851,5129,3230,1899
08,00,RAJASTHAN,Rural,Total,4247026,2593810,1653216,609507,414618,194889
08,00,RAJASTHAN,Rural,5-9,329094,175601,153493,8525,4726,3799
08,00,RAJASTHAN,Rural,10-14,698265,381809,316456,76554,43641,32913
08,00,RAJASTHAN,Rural,15-19,742080,429111,312969,156426,94328,62098
08,00,RAJASTHAN,Rural,20-24,584061,364476,219585,116000,77047,38953
08,00,RAJASTHAN,Rural,25-29,421369,271819,149550,71287,51087,20200
08,00,RAJASTHAN,Rural,30-49,1027728,683719,344009,139446,109890,29556
08,00,RAJASTHAN,Rural,50-69,341692,226240,115452,32456,27362,5094
08,00,RAJASTHAN,Rural,70+,75250,44904,30346,5151,4146,1005
08,00,RAJASTHAN,Rural,Age not stated,27487,16131,11356,3662,2391,1271
08,00,RAJASTHAN,Urban,Total,3226160,1796110,1430050,397244,228224,169020
08,00,RAJASTHAN,Urban,5-9,150058,80334,69724,7210,3957,3253
08,00,RAJASTHAN,Urban,10-14,291784,156769,135015,27255,14728,12527
08,00,RAJASTHAN,Urban,15-19,410433,220541,189892,54515,29038,25477
08,00,RAJASTHAN,Urban,20-24,435897,231465,204432,60163,31608,28555
08,00,RAJASTHAN,Urban,25-29,376526,203593,172933,49975,27145,22830
08,00,RAJASTHAN,Urban,30-49,1028483,580079,448404,131248,76553,54695
08,00,RAJASTHAN,Urban,50-69,433416,263662,169754,55240,36824,18416
08,00,RAJASTHAN,Urban,70+,89365,53964,35401,10171,7532,2639
08,00,RAJASTHAN,Urban,Age not stated,10198,5703,4495,1467,839,628
09,00,UTTAR PRADESH,Total,Total,22873609,13309909,9563700,2585664,1546993,1038671
09,00,UTTAR PRADESH,Total,5-9,1162649,609337,553312,60460,31151,29309
09,00,UTTAR PRADESH,Total,10-14,2660707,1399022,1261685,269061,138833,130228
09,00,UTTAR PRADESH,Total,15-19,3892396,2072687,1819709,506007,263405,242602
09,00,UTTAR PRADESH,Total,20-24,3370804,1917920,1452884,429516,243722,185794
09,00,UTTAR PRADESH,Total,25-29,2409303,1383214,1026089,287802,169276,118526
09,00,UTTAR PRADESH,Total,30-49,6156770,3779258,2377512,678745,441130,237615
09,00,UTTAR PRADESH,Total,50-69,2500847,1681971,818876,277046,203414,73632
09,00,UTTAR PRADESH,Total,70+,520027,351679,168348,57610,44471,13139
09,00,UTTAR PRADESH,Total,Age not stated,200106,114821,85285,19417,11591,7826
09,00,UTTAR PRADESH,Rural,Total,10917897,6641168,4276729,1267848,814164,453684
09,00,UTTAR PRADESH,Rural,5-9,584448,305934,278514,26852,14020,12832
09,00,UTTAR PRADESH,Rural,10-14,1465761,773290,692471,159168,83682,75486
09,00,UTTAR PRADESH,Rural,15-19,2165225,1176809,988416,294526,159596,134930
09,00,UTTAR PRADESH,Rural,20-24,1660585,999825,660760,217320,133254,84066
09,00,UTTAR PRADESH,Rural,25-29,1086433,674005,412428,133506,87529,45977
09,00,UTTAR PRADESH,Rural,30-49,2649332,1772242,877090,298146,220876,77270
09,00,UTTAR PRADESH,Rural,50-69,1006581,733761,272820,108175,91502,16673
09,00,UTTAR PRADESH,Rural,70+,221561,157806,63755,21679,18233,3446
09,00,UTTAR PRADESH,Rural,Age not stated,77971,47496,30475,8476,5472,3004
09,00,UTTAR PRADESH,Urban,Total,11955712,6668741,5286971,1317816,732829,584987
09,00,UTTAR PRADESH,Urban,5-9,578201,303403,274798,33608,17131,16477
09,00,UTTAR PRADESH,Urban,10-14,1194946,625732,569214,109893,55151,54742
09,00,UTTAR PRADESH,Urban,15-19,1727171,895878,831293,211481,103809,107672
09,00,UTTAR PRADESH,Urban,20-24,1710219,918095,792124,212196,110468,101728
09,00,UTTAR PRADESH,Urban,25-29,1322870,709209,613661,154296,81747,72549
09,00,UTTAR PRADESH,Urban,30-49,3507438,2007016,1500422,380599,220254,160345
09,00,UTTAR PRADESH,Urban,50-69,1494266,948210,546056,168871,111912,56959
09,00,UTTAR PRADESH,Urban,70+,298466,193873,104593,35931,26238,9693
09,00,UTTAR PRADESH,Urban,Age not stated,122135,67325,54810,10941,6119,4822
10,00,BIHAR,Total,Total,16761785,9443495,7318290,1682572,1028475,654097
10,00,BIHAR,Total,5-9,1804831,936995,867836,93094,48296,44798
10,00,BIHAR,Total,10-14,2849005,1509745,1339260,261823,137806,124017
10,00,BIHAR,Total,15-19,2110349,1202181,908168,276454,156516,119938
10,00,BIHAR,Total,20-24,1729816,979405,750411,219430,132395,87035
10,00,BIHAR,Total,25-29,1541171,857828,683343,173385,105971,67414
10,00,BIHAR,Total,30-49,4397916,2543179,1854737,451722,296247,155475
10,00,BIHAR,Total,50-69,1896752,1145324,751428,171077,124939,46138
10,00,BIHAR,Total,70+,378285,238229,140056,30580,23246,7334
10,00,BIHAR,Total,Age not stated,53660,30609,23051,5007,3059,1948
10,00,BIHAR,Rural,Total,13930257,7865893,6064364,1262676,785074,477602
10,00,BIHAR,Rural,5-9,1594585,827417,767168,75186,39114,36072
10,00,BIHAR,Rural,10-14,2484014,1319835,1164179,213171,113165,100006
