Table name,State Code,District Code,Sub-District Code,Area name,Mother tongue code,Mother tongue name,Total Persons,Total Males,Total Females,Rural Persons,Rural Males,Rural Females,Urban Persons,Urban Males,Urban Females
C0116,00,000,00000,INDIA,028001, Arabic/Arbi,54871,29899,24972,38979,21197,17782,15892,8702,7190
C0116,00,000,00000,INDIA,028999,28 Others,76,39,37,72,38,34,4,1,3
C0116,00,000,00000,INDIA,029000,29 BALTI ,13774,7152,6622,12234,6320,5914,1540,832,708
C0116,00,000,00000,INDIA,029002, Balti,13654,7088,6566,12126,6263,5863,1528,825,703
C0116,00,000,00000,INDIA,029999,29 Others,120,64,56,108,57,51,12,7,5
C0116,00,000,00000,INDIA,030000,30 BHILI/BHILODI ,10413637,5222991,5190646,10004725,5016639,4988086,408912,206352,202560
C0116,00,000,00000,INDIA,030002, Baori,63028,32595,30433,60086,31064,29022,2942,1531,1411
C0116,00,000,00000,INDIA,030003, Barel,991257,497069,494188,976087,489264,486823,15170,7805,7365
C0116,00,000,00000,INDIA,030006, Bhilali,753466,375317,378149,742835,369937,372898,10631,5380,5251
C0116,00,000,00000,INDIA,030007, Bhili/Bhilodi,3206533,1603959,1602574,3109044,1554573,1554471,97489,49386,48103
C0116,00,000,00000,INDIA,030011, Chodhari,110570,54535,56035,109809,54176,55633,761,359,402
C0116,00,000,00000,INDIA,030015, Dhodia,49097,24267,24830,40734,20022,20712,8363,4245,4118
C0116,00,000,00000,INDIA,030020, Gamti/Gavit,139118,68807,70311,134071,66399,67672,5047,2408,2639
C0116,00,000,00000,INDIA,030021, Garasia,76749,38516,38233,73711,36947,36764,3038,1569,1469
C0116,00,000,00000,INDIA,030035, Kokna/Kokni/Kukna,416787,207960,208827,328489,164425,164064,88298,43535,44763
C0116,00,000,00000,INDIA,030049, Mawchi,98486,48886,49600,94554,46917,47637,3932,1969,1963
C0116,00,000,00000,INDIA,030066, Paradhi,69085,34555,34530,52459,26217,26242,16626,8338,8288
C0116,00,000,00000,INDIA,030068, Pawri,311677,157986,153691,304283,154027,150256,7394,3959,3435
C0116,00,000,00000,INDIA,030070, Rathi,47801,26402,21399,47139,26055,21084,662,347,315
C0116,00,000,00000,INDIA,030073, Tadavi,52347,26519,25828,46712,23685,23027,5635,2834,2801
C0116,00,000,00000,INDIA,030075, Varli,387481,191372,196109,376368,185801,190567,11113,5571,5542
C0116,00,000,00000,INDIA,030076, Vasava,187036,92887,94149,184411,91557,92854,2625,1330,1295
C0116,00,000,00000,INDIA,030078, Wagdi,3393991,1711046,1682945,3271914,1649034,1622880,122077,62012,60065
C0116,00,000,00000,INDIA,030999,30 Others,59128,30313,28815,52019,26539,25480,7109,3774,3335
